☐ Full description:,"Ankahee runs interactive workshops on mental health, emotional wellbeing, relationships, boundaries, stress management, resilience, and workplace wellbeing.
",,,,,,,,,,,,,,,,,,,,,,,,
☐ Who it is for:,"Communities, educational institutions, and organisations.",,,,,,,,,,,,,,,,,,,,,,,,
☐ Concerns or goals supported:,"Mental health awareness, emotional wellbeing, relationships, boundaries, stress management, resilience, workplace wellbeing.",psychopharmocology; Professional Indemnity; Microskills; Setting up Practice; how to work with other MHPs/local resources; ,,,,,,,,,,,,,,,,,,,,,,,
☐ Session format: online / in-person / hybrid,Online,,,,,,,,,,,,,,,,,,,,,,,,
☐ Session duration:,60 minutes,,,,,,,,,,,,,,,,,,,,,,,,
☐ Fee or “contact for pricing”:,Upto 500 rs,,,,,,,,,,,,,,,,,,,,,,,,
"☐ Recommended frequency, if appropriate:",Monthly ,,,,,,,,,,,,,,,,,,,,,,,,
☐ Languages available:,Hindi and English,,,,,,,,,,,,,,,,,,,,,,,,
☐ Therapist(s) offering the service:,Both,,,,,,,,,,,,,,,,,,,,,,,,
☐ What a first session may involve:,,,,,,,,,,,,,,,,,,,,,,,,,
☐ Important exclusions or disclaimer:,"Psychoeducational, not a substitute for individual therapy",,,,,,,,,,,,,,,,,,,,,,,,
☐ Call-to-action label:,Click to know more (hyperlink to the workshops page),,,,,,,,,,,,,,,,,,,,,,,,
Service 4,,,,,,,,,,,,,,,,,,,,,,,,,
Training Programmes,,,,,,,,,,,,,,,,,,,,,,,,,
☐ Short card description (20–40 words):,"Experiential training for students, early-career mental health professionals, and organisations on counselling microskills and the foundations of therapeutic work.",,,,,,,,,,,,,,,,,,,,,,,,
☐ Full description:,"Ankahee's training programmes offer experiential learning for students, early-career mental health professionals, and organisations, covering counselling microskills, therapeutic relationships, reflective practice, and the foundations of meaningful therapeutic work.",,,,,,,,,,,,,,,,,,,,,,,,
☐ Who it is for:,"Students, early-career mental health professionals, and organisations.",,,,,,,,,,,,,,,,,,,,,,,,
☐ Concerns or goals supported:,"Upskill to specific modalities, therapeutic relationship-building, reflective practice, foundations of therapeutic work.",,,,,,,,,,,,,,,,,,,,,,,,
☐ Session format: online / in-person / hybrid,Online,,,,,,,,,,,,,,,,,,,,,,,,
☐ Session duration:,60 minutes,,,,,,,,,,,,,,,,,,,,,,,,
☐ Fee or “contact for pricing”:,Contact for pricing ,,,,,,,,,,,,,,,,,,,,,,,,
"☐ Recommended frequency, if appropriate:",,,,,,,,,,,,,,,,,,,,,,,,,
☐ Languages available:,Hindi and English,,,,,,,,,,,,,,,,,,,,,,,,
☐ Therapist(s) offering the service:,Both ,,,,,,,,,,,,,,,,,,,,,,,,
☐ What a first session may involve:,,,,,,,,,,,,,,,,,,,,,,,,,
☐ Important exclusions or disclaimer:,,,,,,,,,,,,,,,,,,,,,,,,,
☐ Call-to-action label:,Click to Know More,,,,,,,,,,,,,,,,,,,,,,,,
,Our approach: CAT · IFS · EFIT · CBT · DBT · Trauma-informed,,,,,,,,,,,,,,,,,,,,,,,,
