☐ Session formats and locations:,Remote || 45 minutes || 90 minutes ,,,,,,,,,,,,,,,,,,,,,,,,
☐ Languages spoken:,"Hindi, English",,,,,,,,,,,,,,,,,,,,,,,,
☐ Short biography (60–100 words):,"Manvi believes that everyone deserves care, regardless of how big, small, visible, or difficult their struggles may seem. She believes people grow when they have the support, safety, and relationships that allow them to understand themselves with greater kindness, and that it is worth asking what made a pattern necessary before asking someone to change it. With 1,500+ hours of psychotherapy experience across digital mental health, private practice, EAP, and university settings, she works with adolescents, young adults, and adults, and has also facilitated workshops on mental health and emotional wellbeing.",,,,,,,,,,,,,,,,,,,,,,,,
☐ Full biography (150–300 words):,"Manvi is a Counselling Psychologist and co-founder of Ankahee. She believes that everyone deserves care, regardless of how big, small, visible, or difficult their struggles may seem. Her work is rooted in the belief that people grow when they have the support, relationships, and space to understand themselves, and that it is worth asking what made a pattern necessary before asking someone to change it.

With 1,500+ hours of individual psychotherapy experience, Manvi has worked across digital mental health, private practice, Employee Assistance Programmes, and university settings. She has supported adolescents, young adults, and adults navigating anxiety, depression, relationship difficulties, grief, identity exploration, emotional regulation, academic and workplace stress, trauma, and life transitions. She has also facilitated workshops and group spaces focused on mental health awareness, emotional wellbeing, academic stress, and emotional regulation.
Her therapeutic work is relational, trauma-informed, and integrative, drawing from Cognitive Analytic Therapy (CAT), Emotionally Focused Individual Therapy (EFIT), DBT, and other approaches depending on what a person brings to therapy. She is particularly interested in understanding recurring interpersonal patterns and how past experiences continue to shape the present.
At the heart of her work is a simple question: ""What might make more sense when we understand the story behind it?""
",,,,,,,,,,,,,,,,,,,,,,,,
☐ Personal therapeutic philosophy or quote:,"What matters isn’t if people are good or bad. What matters is if they’re trying to be better today than they were yesterday. You asked me where my hope comes from? That’s my answer” - The Good Place
“People improve when they get external love and support. How can we hold it against them when they don’t?”
— The Good Place",,,,,,,,,,,,,,,,,,,,,,,,
☐ Services offered:,Individual Therapy | EAP | Workshops & Trainings,,,,,,,,,,,,,,,,,,,,,,,,
☐ Availability / working days:,On enquiry,,,,,,,,,,,,,,,,,,,,,,,,
☐ Booking link or preferred booking method:,WhatsApp,,,,,,,,,,,,,,,,,,,,,,,,
"☐ Public email or contact method, if applicable:",manvijain@ankahee.in,,,,,,,,,,,,,,,,,,,,,,,,
☐ Approval to publish credentials and images: Yes / No,Yes Sir,,,,,,,,,,,,,,,,,,,,,,,,
Fees,1200-1500 (session packages and sliding scale available),,,,,,,,,,,,,,,,,,,,,,,,
Behind the Couch,Different Excel Sheet,,,,,,,,,,,,,,,,,,,,,,,,
Testimonials,Different Excel Sheet,,,,,,,,,,,,,,,,,,,,,,,,
Bookings and Session Timings,Different Excel Sheet,,,,,,,,,,,,,,,,,,,,,,,,
